geneSymbol,ERR978118,ERR978120,ERR978121,ERR978193,ERR978107,ERR978112,ERR978184,ERR978185,ERR978186,ERR978187,ERR978191,ERR978194,ERR978116,ERR978117,ERR978119,ERR978195
SELPLG,2.9129753356882717,3.116998722384095,2.2935330834321186,3.79820100923776,2.4026509807756065,2.3135237481953417,5.704785444546864,5.71414458930917,5.829548669276561,5.554705258972119,4.223584412634998,4.066065451188965,2.869630784742468,2.144614937649731,1.9736341345284643,4.010076078009049
AGR3,2.5672364161266783,2.501311070746004,2.620142596977569,3.7943169361297975,3.0819072897424173,2.0198215408403914,5.321900251918081,5.3211705740584145,5.52398234756071,4.979593930524004,4.17653847863639,3.8252646104516597,2.3351942002450268,2.9848187069360317,2.3465908621030502,3.942537447993464
SCIN,2.635028840827095,2.642412449214063,3.4082702371916325,5.151954850500911,3.5519291456785407,3.407425421120787,6.206917821829803,6.112885975645453,6.598161485271386,6.341425253067354,5.577846358578714,5.376478140334436,2.774508161378825,2.9182873239201794,2.24734181011329,5.719054170935359
CYP3A5,4.849992940687421,4.347971989591565,5.010356119536408,6.781444999171235,5.615537685138854,5.604564907346039,7.532907088583696,7.437586465632871,7.681469654131282,7.606550103268591,6.791547644431887,6.842348360679439,5.076895249493443,5.109056137994701,4.312847106269248,6.951605854818987
UNC5B,4.790059212199177,4.666538331557363,4.970024962913474,6.500448784760106,5.76318144170294,5.994249103366909,7.639423038040324,7.631867958574437,7.614240416910668,7.651837055824643,6.671927685405064,6.586551731666596,4.848103707927357,4.636258957386667,4.589409954229939,6.491618813541678
PARM1,2.0361309844427504,2.4492402433936147,2.1622065437632214,6.0671997975777465,4.119025763622243,4.353625604460739,7.238833068494921,7.342340345222151,7.247736307551151,7.257717230294899,6.0838157408380455,6.052990640710715,2.0589921794373764,1.797497411673935,1.7896087771397673,5.870657061000272
NPSR1,-0.9557447994663509,-0.3468935893585742,-0.9420284295367783,2.742858019346415,1.5219812699593154,1.1432563644156806,4.714223066331868,4.324154630299988,4.3060057350235175,4.345356640811683,3.4104575088255147,3.3266111820525692,0.4997060051304763,1.004124320159209,-0.9507396116072382,3.0259312171404527
NDNF,0.5672278260951882,0.2891411116414875,0.3000233599757517,3.93522857721302,1.712432862644282,1.5262218026893042,5.525098422839766,5.135250010182908,4.906439960128327,5.1958841610504996,4.750690213416904,3.5944175889369947,1.196190678385697,1.2816858733734515,0.5720831935702518,4.221874793876602
CEACAM7,0.579418996528087,-2.571029224391754,1.4362705781118061,6.568712818752982,2.2064009932548756,2.4186145618661454,8.451638531528301,8.453144946093973,8.174132560264129,8.261128599488146,6.949262271600659,6.312119880551037,2.5326247442702545,1.4339546744253349,1.426095842994629,6.817807322586558
ATP2A3,2.58349360748018,1.6474204299640138,2.627409897983317,4.664441310981216,2.841791766417213,3.812301193356029,5.302021091844859,5.472983245173708,5.323341639048749,4.83347981861547,4.645048491961079,4.470227338599906,2.1595104270349337,2.4772096345669716,2.418431559392877,4.745275885060518
LUM,5.126534574570767,5.01818194438715,5.338263787945603,7.575399123901888,6.3846840420088995,6.282214411939245,9.272226946565445,9.07523682747176,9.014902772550112,9.063028547979911,7.738971629977246,7.478622122329676,5.181565121364241,5.31861440224015,5.254833948479888,7.720778774161794
FER1L6,1.4821498674544493,1.3145341845022247,1.1104980296986773,4.3857686621777185,2.7644846541800487,2.9915142923563494,6.795999071635565,6.789482665227331,6.612864314569298,6.77298491187158,4.55504719484628,4.559047267401879,1.5049342211356562,1.1082325130787276,1.922674224867733,4.492485944981385
