geneSymbol,ERR978118,ERR978120,ERR978121,ERR978193,ERR978107,ERR978112,ERR978184,ERR978185,ERR978186,ERR978187,ERR978191,ERR978194,ERR978116,ERR978117,ERR978119,ERR978195
IL1B,3.837407382125996,3.1649391313444757,3.522489506072724,2.517358442033938,3.3695018517617275,3.6596377594183545,0.9404637669479495,0.33680549565007173,-0.18299710746932998,0.09191850677510893,1.1188418454514826,1.5919395392846065,3.111202685679797,2.758106134310468,3.0815454595345875,1.8199440450193372
LTB,2.4025235283217903,2.3636627186715407,2.6570020891304322,1.3464627922109957,1.610352410772504,1.4887152409719036,-0.9226969403725572,-0.1882606901737413,-0.18487465304773515,-0.6110893813879473,-0.745021986612474,-0.5215770385181369,2.6074697751356024,2.6748285309813986,2.1117093213784592,0.43149551200627356
KRT8P18,2.77691748934896,4.002984216736607,3.16496978671768,1.105219589452706,1.5849376033759157,2.2870244033137337,0.7058302367976197,0.3313072762853278,-0.9075042467665281,0.738025709123193,1.105917590335043,0.4579614405052945,3.2542123750588274,3.0179526277091,3.4187194894236015,1.9053615567603257
HMGA2,7.949487471862628,7.505613468867845,7.83291465216323,5.523026961369066,6.414389582377547,6.771012667124022,4.850655248482653,5.0878688366019,4.693431402488685,4.784823188397191,5.647057299635255,4.784326801733285,7.916715897461557,7.9176333398602905,7.752366736271672,6.265246920936955
CDC6,5.5727902288792714,5.380491316626045,5.967368376634583,3.8211096303184187,4.9466068190731525,4.929705798266401,3.6107125455039695,3.8746830406444435,2.1814483423922626,2.8706048139982863,3.420380847857375,1.9954892359019394,5.309679380077188,5.379152954669216,5.3368501142552605,3.983550237693999
MFSD2B,4.7171165450711765,4.692473093745682,4.622709572533753,2.4014232259265365,3.708633779876562,3.701079816391471,2.0572300977138314,2.0586650791751917,1.9280408282952703,1.9811470254663448,2.329291536079019,2.207968521222746,4.7056022562696365,4.321031394678078,4.762098697130872,2.801819850252751
MARCH4,5.52832224617541,5.257401294147981,5.473878699785384,0.7419562205464207,4.175651887472716,4.037896026301107,1.3659896628701609,0.9072200863677768,1.1515715306849685,0.6688503034853914,1.272464616002722,2.0970533321016385,5.354306344160223,5.156076875680153,5.427714399917437,2.220251361102013
UPK2,8.792135465734702,8.784208586397297,8.659524375435309,6.174813510329798,7.188377457675123,7.234279467170401,4.942439150916942,5.111230626295959,5.264451085355443,5.237830323882667,5.712018555600307,6.03522098410005,8.645275356274244,8.810966230042329,8.712665064197823,5.819183375057657
HMGA1,11.036537964991378,10.962363929455956,10.94619558222984,8.715550566771515,10.052897599704998,10.167337800030754,7.702897539883933,7.767341687275932,7.988707647697557,7.62336701162304,8.743381940158336,8.871280852293129,10.992618210544087,11.059678449338021,11.050555547267766,8.733248664700833
IGDCC4,4.8597355799272295,5.081881881441756,4.684263468401315,2.537506739598914,4.024060556794834,3.8116872815058986,2.562663133441618,1.4002334130446399,2.8528159829906325,1.7542390088099584,2.791391074396839,2.771783528336742,4.933634679493,4.993414941448215,5.148899354108304,2.294577520673266
